"Division","ID","Club"
"England",1,"Arsenal"
"England",2,"Aston Villa"
"England",3,"Birmingham City"
"England",4,"Blackburn"
"England",5,"Bolton Wanderers"
"England",6,"Charlton"
"England",7,"Chelsea"
"England",8,"Crystal Palace"
"England",9,"Everton"
"England",10,"Fulham"
"England",11,"Liverpool"
"England",12,"Manchester City"
"England",13,"Man United"
"England",14,"Middlesbrough"
"England",15,"Newcastle United"
"England",16,"Norwich City"
"England",17,"Portsmouth"
"England",18,"Southampton"
"England",19,"Tottenham"
"England",20,"WBA"
"Spain",21,"Albacete"
"Spain",22,"Athletic Bilbao"
"Spain",23,"Atlético Madrid"
"Spain",24,"Real Betis"
"Spain",25,"Depor"
"Spain",26,"Espanyol"
"Spain",27,"FC Barcelona"
"Spain",28,"Sevilla FC"
"Spain",29,"Valencia CF"
"Spain",30,"Getafe"
"Spain",31,"Levante"
"Spain",32,"Mallorca"
"Spain",33,"Málaga"
"Spain",34,"Numancia"
"Spain",35,"Osasuna"
"Spain",36,"Racing Santander"
"Spain",37,"Real Madrid"
"Spain",38,"Real Zaragoza"
"Spain",39,"Real Sociedad"
"Spain",40,"Villarreal"
"Italy",41,"AC Milan"
"Italy",42,"AS Roma"
"Italy",43,"Atalanta"
"Italy",44,"Bologna"
"Italy",45,"Brescia"
"Italy",46,"Cagliari"
"Italy",47,"Chievo Verona"
"Italy",48,"Fiorentina"
"Italy",49,"Inter Milan"
"Italy",50,"Juventus"
"Italy",51,"Lazio"
"Italy",52,"Lecce"
"Italy",53,"Livorno"
"Italy",54,"Messina"
"Italy",55,"Palermo"
"Italy",56,"Parma"
"Italy",57,"Reggina"
"Italy",58,"Sampdoria"
"Italy",59,"Siena"
"Italy",60,"Udinese"
"France",61,"AC Ajaccio"
"France",62,"Auxerre"
"France",63,"Bastia"
"France",64,"Bordeaux"
"France",65,"Caen"
"France",66,"Istres"
"France",67,"Lens"
"France",68,"Lille"
"France",69,"Lyon"
"France",70,"Marseille"
"France",71,"Metz"
"France",72,"Monaco"
"France",73,"Nantes"
"France",74,"Nice"
"France",75,"Paris S-G"
"France",76,"Rennes"
"France",77,"Saint-Etienne"
"France",78,"Sochaux"
"France",79,"Strasbourg"
"France",80,"Toulouse FC"
"Germany",81,"Bielefeld"
"Germany",82,"Bayer Leverkusen"
"Germany",83,"Bayern Munich"
"Germany",84,"Bochum"
"Germany",85,"Dortmund"
"Germany",86,"M'gladbach"
"Germany",87,"Freiburg"
"Germany",88,"Hamburger SV"
"Germany",89,"Hannover 96"
"Germany",90,"Hansa Rostock"
"Germany",91,"Hertha Berlin"
"Germany",92,"Kaiserslautern"
"Germany",93,"Mainz"
"Germany",94,"FC Nürnberg"
"Germany",95,"Schalke 04"
"Germany",96,"Stuttgart"
"Germany",97,"Werder Bremen"
"Germany",98,"Wolfsburg"
"Other",99,"Brazil"
"Other",100,"Netherlands"
"Other",101,"Scotland"
"Other",102,"Switzerland"
"Other",103,"Belgium"
"Other",104,"Turkey"
"Other",105,"Argentina"
"Other",106,"Portugal"
"Other",107,"Austria"
"Other",108,"Greece"
"Other",109,"Mexico"
"Other",110,"Norway"
"Other",111,"United States"
"Other",112,"Denmark"
"Other",113,"Russia"
"Other",114,"Serbia"
